activation	batch_size	checkpoint_path	cv_key	depth	dropout	epoch	feature_names	gamma_mel	h10	h4	h5	h7	h8	h9	height	input_time_len_list	learning_rate	max_epochs	max_noise	model	momentum	no_save_ckpt	norm_type	optimizer	step_save_summaries	tag_label	target_height	train_acc	train_batch_result_filename	train_dir	train_loss	unique_key	username	val_set_number	valid_acc	valid_f1	valid_loss	width	bn_layers	extra_1x1_conv	focal_loss_gamma_list	l2_loss_scale	loss1_weight	loss_reduce_max_index
swish	32.0		a88460	13.0	0.30000000000000004	948.0	['mfcc', 'melspectrogram', 'rmse']	0.74	1.0	64.0	0.5	32.0	0.5	8.0	8.0	1024.0	0.0001	1000.0	0.87	CNN	0.97	0.0	0.0	adadelta	10.0	experiment	8.0	0.3317708298563957	./log/batch_log/result_experiment.txt	train_dir	1.5647295117378237	9f5f06	user	0.0	0.4505172371864319	0.35416804686260833	1.0119094848632812	1600.0						
swish	64.0		ff9430	13.0	0.5	967.0	['mfcc', 'melspectrogram', 'rmse']	0.18	1.0	8.0	1.0	8.0	2.0	8.0	8.0	1024.0	0.001	1000.0	0.51	CNN	0.99	0.0	2.0	rmsprop	10.0	experiment	8.0	0.9012069106101992	./log/batch_log/result_experiment.txt	train_dir	0.63108229637146	072318	user	0.0	0.9098275899887084	0.5825234697910638	0.6275936365127563	1600.0						
swish	8.0		fc352f	13.0	0.7000000000000002	145.0	['mfcc', 'melspectrogram', 'rmse']	0.53	2.0	8.0	0.5	16.0	0.5	8.0	8.0	1024.0	0.001	1000.0	0.53	CNN	0.95	0.0	1.0	adadelta	10.0	experiment	8.0	0.7144270837306976	./log/batch_log/result_experiment.txt	train_dir	0.6938229352235794	e30891	user	0.0	0.746791660785675	0.17086326940103946	0.694008395075798	1600.0						
swish	8.0		bdeb7d	13.0	0.5	998.0	['mfcc', 'melspectrogram', 'rmse']	0.82	0.5	32.0	1.0	32.0	2.0	64.0	8.0	1024.0	0.001	1000.0	0.81	CNN	0.97	0.0	1.0	nesterov	10.0	experiment	8.0	0.9059635400772096	./log/batch_log/result_experiment.txt	train_dir	0.6310511752963066	d4671f	user	0.0	0.9035208225250244	0.7817801967614204	0.6718022525310516	1600.0						
relu6	16.0		6158e2	13.0	0.6000000000000001	995.0	['mfcc', 'melspectrogram', 'rmse']	0.5	1.0	64.0	0.5	32.0	0.5	16.0	8.0	1024.0	0.0001	1000.0	0.93	CNN	0.97	0.0	2.0	rmsprop	10.0	experiment	8.0	0.9112187474966048	./log/batch_log/result_experiment.txt	train_dir	0.6241179555654526	08e69a	user	0.0	0.9104607403278352	0.5800884591536599	0.6261701881885529	1600.0						
relu6	16.0		89701b	13.0	0.6000000000000001	759.0	['mfcc', 'melspectrogram', 'rmse']	0.49	2.0	8.0	0.5	8.0	0.5	16.0	8.0	1024.0	0.001	1000.0	0.32	CNN	0.9	0.0	3.0	adadelta	10.0	experiment	8.0	0.6086198091506958	./log/batch_log/result_experiment.txt	train_dir	0.6943351626396179	28cef0	user	0.0	0.6951041519641876	0.3365033818655924	0.6941757202148438	1600.0						
swish	16.0		6ca7e1	13.0	0.8	446.0	['mfcc', 'melspectrogram', 'rmse']	0.44	0.5	32.0	1.0	16.0	0.5	32.0	8.0	1024.0	0.01	1000.0	0.49	CNN	0.99	0.0	3.0	adam	10.0	experiment	8.0	0.9017968773841858	./log/batch_log/result_experiment.txt	train_dir	0.6271991580724716	2d7a8a	user	0.0	0.8941506445407867	0.3118756936736959	0.6466605961322784	1600.0						
relu6	64.0		2bdb98	13.0	0.5	126.0	['mfcc', 'melspectrogram', 'rmse']	0.54	1.0	64.0	0.5	64.0	2.0	32.0	8.0	1024.0	0.0001	1000.0	0.42	CNN	0.95	0.0	2.0	nesterov	10.0	experiment	8.0	0.7881609201431274	./log/batch_log/result_experiment.txt	train_dir	0.6935771107673645	315b9d	user	0.0	0.7825287580490112	0.13854351687388988	0.6936053037643433	1600.0						
relu6	64.0		b4c625	13.0	0.2	925.0	['mfcc', 'melspectrogram', 'rmse']	0.55	1.0	16.0	1.0	32.0	1.0	16.0	8.0	1024.0	0.001	1000.0	0.26	CNN	0.95	0.0	1.0	adam	10.0	experiment	8.0	0.9297413825988772	./log/batch_log/result_experiment.txt	train_dir	0.6119771599769592	f6ecff	user	0.0	0.9316666722297668	0.6056068547653446	0.6197027564048767	1600.0						
relu	64.0		73ca63	13.0	0.2	999.0	['mfcc', 'melspectrogram', 'rmse']	0.19	0.5	64.0	1.0	8.0	1.0	64.0	8.0	1024.0	0.0001	1000.0	0.19	CNN	0.9	0.0	3.0	rmsprop	10.0	experiment	8.0	0.88991379737854	./log/batch_log/result_experiment.txt	train_dir	0.6364214420318604	fa87e0	user	0.0	0.8921838998794556	0.3076781609195402	0.6391127705574036	1600.0						
